STATE,FL_INT,PRES_INT,PRES_EXT,PRES_PAC,Flow,VOLUME,VALVE_INS,REF
1,0,12.85,-0.44,9.47,43.03,4.82,64.26,10
1,0,13.32,-0.44,9.79,42.83,4.82,59.26,10
1,0,13.56,-0.44,9.94,42.24,4.82,54.26,10
1,0,13.53,-0.44,10.04,41.85,4.83,49.26,10
1,0,13.54,-0.44,10.06,41.12,4.83,44.26,10
1,0,13.5,-0.44,10.02,40.07,4.83,39.26,10
1,0,13.33,-0.44,9.96,39.15,4.83,34.26,10
2,0,13.14,-0.44,9.83,37.69,4.84,29.26,10
2,0,12.94,-0.44,9.69,36.54,4.84,29.26,10
2,0,12.49,-0.44,9.35,33.87,4.84,29.26,10
2,0,11.67,-0.44,8.73,28.21,4.84,29.26,10
2,0,11.14,-0.44,8.39,26.42,4.84,29.26,10
2,0,10.82,-0.44,8.15,24.9,4.84,29.26,10
4,0,10.53,-0.44,7.95,22.98,4.85,29.26,10
4,0,9.61,-0.44,7.15,17.1,4.85,0,0
4,0,9.1,-0.44,6.76,15.86,4.85,0,0
4,0,8.58,-0.44,6.39,15.26,4.85,0,0
4,0,8.19,-0.44,6.11,14.47,4.85,0,0
4,0,7.79,-0.44,5.87,13.72,4.85,0,0
4,0,7.42,-0.44,5.62,13.21,4.85,0,0
4,0,7.1,-0.44,5.42,12.75,4.85,0,0
4,0,6.81,-0.44,5.23,12.16,4.85,0,0
4,0,6.56,-0.44,5.04,11.39,4.85,0,0
4,0,6.33,-0.44,4.89,10.43,4.85,0,0
4,0,6.11,-0.44,4.75,10,4.86,0,0
4,0,5.91,-0.44,4.59,9.87,4.86,0,0
4,0,5.74,-0.44,4.46,9.3,4.86,0,0
4,0,5.56,-0.44,4.32,9.89,4.86,0,0
4,0,5.38,-0.44,4.18,10.15,4.86,0,0
4,0,5.22,-0.44,4.04,10.41,4.86,0,0
4,0,5.07,-0.44,3.94,10.72,4.86,0,0
4,0,4.98,-0.44,3.83,10.61,4.86,0,0
4,0,4.87,-0.44,3.72,9.6,4.86,0,0
4,0,4.78,-0.44,3.62,8.67,4.86,0,0
4,0,4.66,-0.44,3.51,8.1,4.86,0,0
4,0,4.55,-0.44,3.38,7.7,4.86,0,0
4,0,4.44,-0.44,3.27,7.09,4.86,0,0
4,0,4.28,-0.44,3.16,6.6,4.86,0,0
4,0,4.11,-0.44,3.06,6.27,4.86,0,0
4,0,3.96,-0.44,2.96,5.62,4.86,0,0
4,0,3.81,-0.44,2.88,5.09,4.86,0,0
4,0,3.67,-0.44,2.8,3.95,4.86,0,0
4,0,3.53,-0.44,2.71,3.76,4.86,0,0
4,0,3.41,-0.44,2.62,3.86,4.86,0,0
4,0,3.27,-0.44,2.54,3.87,4.86,0,0
4,0,3.15,-0.44,2.46,3.58,4.86,0,0
4,0,3.03,-0.44,2.38,2.49,4.86,0,0
4,0,2.89,-0.44,2.28,1.61,4.86,0,0
4,0,2.75,-0.44,2.18,1.89,4.86,0,0
4,0,2.62,-0.44,2.1,0.79,4.86,0,0
4,0,2.48,-0.44,2.01,-0.08,4.86,0,0
4,0,2.33,-0.44,1.91,-0.69,4.86,0,0
4,0,2.2,-0.44,1.8,-1.07,4.86,0,0
4,0,2.08,-0.44,1.7,-1.66,4.86,0,0
4,0,1.94,-0.44,1.62,-2.13,4.86,0,0
4,0,1.82,-0.44,1.51,-2.98,4.86,0,0
4,0,1.7,-0.44,1.43,-3.62,4.86,0,0
4,0,1.58,-0.44,1.34,-3.96,4.86,0,0
4,0,1.46,-0.44,1.27,-4.64,4.86,0,0
4,0,1.37,-0.44,1.19,-5.37,4.86,0,0
4,0,1.26,-0.44,1.09,-6.11,4.86,0,0
4,0,1.17,-0.44,0.99,-6.66,4.86,0,0
4,0,1.07,-0.44,0.93,-7.6,4.86,0,0
4,0,0.97,-0.44,0.85,-8.35,4.86,0,0
4,0,0.87,-0.44,0.8,-8.8,4.86,0,0
1,0,0.77,-0.44,0.73,-8.99,4.86,0,0
